"module","category","file","coqc_status","coqc_ms","coqc_log"
"V58_LOGICAL_34","logical","V58_LOGICAL_34.v","kernel_success","337.1","logs/V58_LOGICAL_34.coqc.log"
"V58_PRODUCT_35","product","V58_PRODUCT_35.v","kernel_success","371.9","logs/V58_PRODUCT_35.coqc.log"
"V58_EQ_36","eq","V58_EQ_36.v","kernel_success","340.2","logs/V58_EQ_36.coqc.log"
"V58_SECTION_37","section","V58_SECTION_37.v","kernel_success","363.2","logs/V58_SECTION_37.coqc.log"
"V58_RETRACTION_38","retraction","V58_RETRACTION_38.v","kernel_success","432.5","logs/V58_RETRACTION_38.coqc.log"
"V58_LOGICAL_39","logical","V58_LOGICAL_39.v","kernel_success","407","logs/V58_LOGICAL_39.coqc.log"
"V58_PRODUCT_40","product","V58_PRODUCT_40.v","kernel_success","432","logs/V58_PRODUCT_40.coqc.log"
"V58_EQ_41","eq","V58_EQ_41.v","kernel_success","411.8","logs/V58_EQ_41.coqc.log"
"V58_SECTION_42","section","V58_SECTION_42.v","kernel_success","361.8","logs/V58_SECTION_42.coqc.log"
"V58_RETRACTION_43","retraction","V58_RETRACTION_43.v","kernel_success","365.4","logs/V58_RETRACTION_43.coqc.log"
"V58_LOGICAL_44","logical","V58_LOGICAL_44.v","kernel_success","364.6","logs/V58_LOGICAL_44.coqc.log"
"V58_PRODUCT_45","product","V58_PRODUCT_45.v","kernel_success","388.3","logs/V58_PRODUCT_45.coqc.log"
"V58_EQ_46","eq","V58_EQ_46.v","kernel_success","402.3","logs/V58_EQ_46.coqc.log"
"V58_SECTION_47","section","V58_SECTION_47.v","kernel_success","464.3","logs/V58_SECTION_47.coqc.log"
"V58_RETRACTION_48","retraction","V58_RETRACTION_48.v","kernel_success","427.4","logs/V58_RETRACTION_48.coqc.log"
"V58_LOGICAL_49","logical","V58_LOGICAL_49.v","kernel_success","365.6","logs/V58_LOGICAL_49.coqc.log"
"V58_PRODUCT_50","product","V58_PRODUCT_50.v","kernel_success","375","logs/V58_PRODUCT_50.coqc.log"
"V58_EQ_51","eq","V58_EQ_51.v","kernel_success","363.7","logs/V58_EQ_51.coqc.log"
"V58_SECTION_52","section","V58_SECTION_52.v","kernel_success","370.4","logs/V58_SECTION_52.coqc.log"
"V58_RETRACTION_53","retraction","V58_RETRACTION_53.v","kernel_success","372.9","logs/V58_RETRACTION_53.coqc.log"
"V58_LOGICAL_54","logical","V58_LOGICAL_54.v","kernel_success","392.4","logs/V58_LOGICAL_54.coqc.log"
"V58_PRODUCT_55","product","V58_PRODUCT_55.v","kernel_success","425.7","logs/V58_PRODUCT_55.coqc.log"
"V58_EQ_56","eq","V58_EQ_56.v","kernel_success","387.7","logs/V58_EQ_56.coqc.log"
"V58_SECTION_57","section","V58_SECTION_57.v","kernel_success","332.9","logs/V58_SECTION_57.coqc.log"
"V58_RETRACTION_58","retraction","V58_RETRACTION_58.v","kernel_success","363.9","logs/V58_RETRACTION_58.coqc.log"
"V58_LOGICAL_59","logical","V58_LOGICAL_59.v","kernel_success","399.2","logs/V58_LOGICAL_59.coqc.log"
"V58_PRODUCT_60","product","V58_PRODUCT_60.v","kernel_success","350.2","logs/V58_PRODUCT_60.coqc.log"
